,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
2884,NH,0.9565217391304348,2.217391304347826,L,L,L,W,W,L,-0.7391304347826086,1.434782608695652,-0.34782608695652173,7.0
2885,H,1.0434782608695652,0.8695652173913043,L,L,W,W,L,W,0.08695652173913043,-0.782608695652174,0.0,-13.0
2886,NH,1.6956521739130435,1.434782608695652,L,W,D,D,W,L,0.2608695652173913,0.30434782608695654,-0.08695652173913043,-1.0
2887,NH,0.8695652173913043,1.6956521739130435,W,D,L,W,W,L,-0.6521739130434783,0.6956521739130435,-0.043478260869565216,12.0
2888,NH,1.7391304347826086,1.6956521739130435,D,D,D,W,W,W,0.9130434782608695,0.5217391304347826,-0.17391304347826086,-8.0
2889,NH,1.6956521739130435,1.565217391304348,W,W,W,W,W,W,0.5217391304347826,0.043478260869565216,0.043478260869565216,1.0
2890,H,2.25,1.125,W,D,W,D,L,L,1.2083333333333333,-0.5,0.4166666666666667,-9.0
2891,NH,0.875,0.625,D,L,W,L,L,L,-0.4166666666666667,-0.7916666666666666,0.125,-11.0
2892,H,0.9166666666666666,0.8333333333333334,D,D,L,L,W,D,-0.7083333333333334,-0.6666666666666666,-0.08333333333333333,-6.0
2893,H,0.8333333333333334,0.8333333333333334,L,W,L,L,D,L,-0.8333333333333334,-0.4583333333333333,0.041666666666666664,0.0
2894,H,2.0833333333333335,0.9166666666666666,W,W,W,L,L,L,0.8333333333333334,-0.7916666666666666,0.5,-6.0
2895,NH,0.2916666666666667,1.6666666666666667,L,L,L,D,L,W,-1.625,0.25,-0.25,4.0
2896,NH,1.75,1.125,W,W,W,W,L,L,0.7083333333333334,0.16666666666666666,0.125,1.0
2897,H,2.25,1.5416666666666667,W,W,W,W,L,W,1.4583333333333333,0.4583333333333333,0.20833333333333334,-8.0
2898,H,1.5,1.6666666666666667,W,D,W,L,D,D,0.3333333333333333,0.8333333333333334,0.25,12.0
2899,NH,0.8333333333333334,0.2916666666666667,L,D,L,L,L,L,-0.4583333333333333,-1.625,0.20833333333333334,0.0
2900,NH,1.52,1.72,D,D,W,D,W,W,0.04,0.68,0.04,4.0
2901,H,1.72,0.92,W,L,D,W,L,W,0.92,-0.72,-0.12,-15.0
2902,NH,1.64,2.28,D,D,L,W,W,D,0.24,1.28,-0.28,10.0
2903,NH,1.48,2.12,L,W,L,W,W,W,0.36,0.84,-0.36,7.0
2904,NH,0.88,0.88,L,L,L,D,D,L,-0.8,-0.4,-0.2,1.0
2905,NH,1.12,2.28,D,W,L,W,W,W,0.16,1.48,-0.2,4.0
2906,H,0.8,1.44,L,L,W,L,W,D,-0.68,0.28,-0.12,3.0
2907,H,0.64,1.64,D,L,L,D,D,W,-0.76,0.48,-0.36,7.0
2908,NH,1.08,1.0,L,D,L,W,D,D,-0.6,-0.64,-0.28,1.0
2909,H,1.64,1.08,D,D,W,L,D,L,0.48,-0.6,0.4,-2.0
2910,NH,0.9615384615384616,1.4615384615384615,W,D,D,D,L,W,-0.3076923076923077,0.34615384615384615,0.038461538461538464,-2.0
2911,NH,0.34615384615384615,1.1153846153846154,D,D,L,D,D,W,-1.5,0.15384615384615385,-0.11538461538461539,13.0
2912,H,1.6923076923076923,0.8461538461538461,D,D,W,L,L,L,0.6538461538461539,-0.8461538461538461,0.4230769230769231,-2.0
2913,H,1.0,0.7307692307692307,D,W,D,W,D,L,-0.6153846153846154,-0.6923076923076923,0.07692307692307693,-6.0
2914,H,0.8846153846153846,0.8846153846153846,L,W,L,W,L,L,-0.8076923076923077,-0.6153846153846154,-0.038461538461538464,0.0
2915,NH,1.4230769230769231,0.8076923076923077,D,L,W,D,L,L,0.2692307692307692,-0.5,0.23076923076923078,-3.0
2916,NH,2.076923076923077,1.6923076923076923,D,W,W,D,W,L,0.8076923076923077,0.8846153846153846,0.2692307692307692,-1.0
2917,NH,2.230769230769231,1.5769230769230769,D,W,W,L,D,D,1.4230769230769231,0.15384615384615385,0.3076923076923077,-13.0
2918,H,2.3076923076923075,1.5,W,W,W,D,D,D,1.3076923076923077,0.038461538461538464,0.15384615384615385,-6.0
